facility_name,street,city,state,zip,violation_program,violation_type,inspection_date,naics_code
19TH ST & CAMPUS AVE,19 19TH ST AND CAMPUS AVE,UPLAND,CA,91786,CWA,No,11/08/2023,
1G9401 CC 4 HIGHWAY 4 DELTA WIDENING,2625 CROW COURT,ANTIOCH,CA,94509,CWA,No,,
1ST SOURCE APPAREL,6001 MAYWOOD AVENUE #A,HUNTINGTON PARK,CA,90255,CWA,No,06/13/2018,
1ST SOURCE APPAREL I C SCREEN PRINTING,6001 MAYWOOD AVE UNIT A,HUNTINGTON PARK,CA,90255,CWA,No,,
2 MUNICIPAL PRODUCTION WELLS,630GARDEN,SANTA BARBARA,CA,93102,CWA,No,,
2 SPEC MANUFACTURING,2885 AIELLO DRIVE #A,SAN JOSE,CA,95111,CWA,No,,
2 STORY MODULAR BUILDING ADDITION,215 W 94TH STREET,INGLEWOOD,CA,90057,CWA,No,,
2 T'S MINI STORAGE,SW RD 415/ HWY 41,COARSEGOLD,CA,00000,CWA,No,,
2-13 INFRASTRUCTURE IMPROVEMENT PROJECT,"WEST OF 4TH STREET, SOUTH OF CHANNEL STREET",SAN FRANCISCO,CA,94158,CWA,No,,
20 OAK RD,20 OAK RD,BENICIA,CA,00000,CWA,No,,
20 OLD RANCH ROAD BUREK RESIDENCE,20 OLD RANCH ROAD,IRVINE,CA,92677,CWA,No,,
200 PARK AVENUE,200 PARK,SAN JOSE,CA,95113,CWA,No,,
200-256 LONG BEACH BLVD.,200 LONG BEACH,LONG BEACH,CA,90802,CWA,No,,
"2000 PRECISION SHEETMETAL, INC",1668  MABURY RD.,SAN JOSE,CA,95133,CWA,No,04/05/2019,
2004 INDUSTRIAL PARK IMPROVEME,SW CORNER MANNING AND MENDOCIN,PARLIER,CA,93648,CWA,No,,
2009-2010LOCAL PAVEMENT REHABILITATION,VARIES LOCATION THROUGHOUT CITY OF CORONA,CORONA,CA,00000,CWA,No,,
2015 ZORADA LLC,2630 ALGODON CT,LOS ANGELES,CA,90046,CWA,Yes,06/20/2025,
2020 ZORADA LLC,2686 ZORADA DR,LOS ANGELES,CA,90046,CWA,Yes,06/20/2025,
2021 SOUTH LAKE TAHOE VSP PROJECT,JULIA LANE,SOUTH LAKE TAHOE,CA,96150,CWA,No,,
202114 LA 710 LONG LIFE PAVEMENT AND WIDEN ROADWAY AND BRIDGES,LOS ANGELES RIVER BRIDGE TO RAMONA BLVD UC,BELL GARDENS,CA,90201,CWA,No,,
2050 S. BUNDY DRIVE,2050 SOUTH BUNDY,LOS ANGELES,CA,90025,CWA,No,,
2056 JARDINE,910 NACIMENTO LAKE DRIVE,PASO ROBLES,CA,93446,CWA,No,,
2059 SHERZ,7575 ODONOVAN ROAD,CRESTON,CA,93432,CWA,No,,
207 SEASIDE WAY CONSTRUCTION PROJECT,207 EAST SEASIDE,LONG BEACH,CA,90802,CWA,No,,
2075 BROADWAY,2075 BROADWAY,REDWOOD CITY,CA,94063,CWA,No,,
2081 TERZIAN,4735 ENGLEHART AVENUE,REEDLEY,CA,93654,CWA,No,,
210 FREEWAY HOV EXPANSION,ALONG 210 FREEWAY BETWEEN I15 AND DAY CREEK BLVD,RANCHO CUCAMONGA,CA,91739,CWA,No,,
2102 CHRISTENSEN,5652 SOUTH BETHEL AVENUE,DEL REY,CA,93616,CWA,No,,
2103 HILL,5475 JACK CREEK ROAD,TEMPLETON,CA,93465,CWA,No,,
215934 LA 5 WIDEN AND REALIGN FREEWAY,N OF CARMENITA ROAD TO N OF SILVERBOW AVENUE PO,NORWALK,CA,90650,CWA,No,,
215944 LA 5 WIDENING,IMPERIAL HIGHWAY AND ROUTE 5,NORWALK,CA,90650,CWA,No,,
